"Exam","Question","QuestionID","Mean_Similarity","Median_Similarity","Min_Similarity","Max_Similarity","SD_Similarity","N_pairs"
"ACTM",25,"ACTM_MC_25",0.599702452412737,0.59709300759416,0.22019197441929,0.872189288185709,0.161082743954334,105
"CAOS",3,"CAOS_MC_3",0.601630450141805,0.596716161320786,0.358513624625317,0.809365387528073,0.101440516697503,105
"ACTM",3,"ACTM_SA_3",0.604192886816394,0.655165410054273,0.178806246117148,0.915663413623783,0.199618436924846,105
"ACTM",13,"ACTM_MC_13",0.605547133517017,0.598663641508858,0.474710352295294,0.852293838191316,0.0709036061573028,105
"CAOS",8,"CAOS_MC_8",0.61902553727059,0.613514694391092,0.389952814520966,0.862164703807634,0.0945951603240786,105
"CAOS",21,"CAOS_MC_21",0.640372571443601,0.677693271923066,0.370110952565386,0.868743591140797,0.132965325327113,105
"ACTM",3,"ACTM_MC_3",0.642224254129481,0.647663742086555,0.34668077948239,0.85909211299545,0.107783361956185,105
"ACTM",1,"ACTM_SA_1",0.656012955707031,0.68052664302246,0.143605882596826,0.981146899776796,0.167950544593698,105
"AP",3,"AP_SA_3",0.662343166456796,0.679220763005076,0.312516379942621,0.833141677603193,0.12377620713161,105
"AP",2,"AP_SA_2",0.676548957322884,0.681037310325831,0.443046284863466,0.865235359530358,0.0963441123097441,105
"AP",4,"AP_SA_4",0.693302201881258,0.739144168648079,0.28567951749295,0.904864387431303,0.145954028944753,105
"CAOS",40,"CAOS_MC_40",0.731485085358517,0.736456646587649,0.495240694593634,0.918061613659714,0.0943550889767284,105
"CAOS",20,"CAOS_MC_20",0.756107917255068,0.784252209458312,0.465743440373316,0.913604975229996,0.0943246145721715,105
