"","Exam","Question","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","Topic_11","Topic_12","Topic_13","Topic_14","Topic_15","Topic_16","Topic_17","Topic_18","Topic_19","Topic_20","DominantTopic","DominantLabel","DominantProb"
"15","ACTM",15,0.0149611897461032,0.0308008509531196,0.00939542483290113,0.000921209727460272,0.100746851916666,0.0018206959712538,0.041754073695479,0.0650671732726806,0.0122344961563164,0.00232079001998927,0.000585195315705908,0.00136670362021826,0.703713375149302,0.00119747789389894,0.000452527705730819,7.40701870887346e-05,0.00150794124945641,0.000429014974002661,0.00947845730007468,0.00117248031255282,13,"Correlation and Scatterplot Interpretation",0.703713375149302
"16","ACTM",16,0.0014365215589617,0.00669222547478437,0.00395799247914816,0.0162985030349581,0.320892771338621,0.000306584231888744,0.0352969538746734,0.0891314638545531,0.486568111168649,0.00530085619233917,0.00219085400090796,0.000732102413141295,0.0201988443818814,0.00121846151230764,0.000834473745826014,0.000132162774865053,0.00373812057859762,0.000249781757987002,0.00396565371557716,0.000857561910332081,9,"Procedural Statistical Computation",0.486568111168649
"17","ACTM",17,0.0148934822542634,0.028661833195147,0.0115582429742928,0.00317178357847328,0.0230203483122006,0.0142714110349828,0.020983862303559,0.522925595790476,0.112274838141294,0.00395969429269351,0.0017250016343087,0.00441295265482076,0.217007190761684,0.00340784663691189,0.000621906660050498,0.000181907987319091,0.00437768378110496,0.000369729093432483,0.0106863685057847,0.00148832040720032,8,"Reasoning with Incomplete Information",0.522925595790476
"18","ACTM",18,0.00526627371806373,0.0190128901557625,0.0643697990925051,0.00146629673362277,0.257478776334395,0.00438655037802689,0.0299843788554945,0.403448606012259,0.0125562424242011,0.00528537958263783,0.00450915586147471,0.0071753675319043,0.120238300953095,0.00482999935384553,0.00281591519024073,0.000510774919891099,0.03548127853048,0.00201376400898406,0.0171369521022494,0.00203329826086677,8,"Reasoning with Incomplete Information",0.403448606012259
"19","ACTM",19,0.0147031731037748,0.0299646973575618,0.00523832544246853,0.000388391802680115,0.028069215313578,0.000598085799532716,0.00956808082591896,0.148073515779939,0.00664346379173823,0.00206229668090213,0.000270632266999179,0.00220971534420422,0.731780348557094,0.00463634218291369,0.000241140107712317,7.34636542015308e-05,0.00125119693628535,0.000196902035951854,0.0131638414893086,0.000867171527235644,13,"Correlation and Scatterplot Interpretation",0.731780348557094
"20","ACTM",20,0.00199093286794043,0.00883036011304921,0.00316004641230518,0.00129546434136351,0.935499363364814,0.000144224733715924,0.0145709769619628,0.01180267118827,0.00311855951613799,0.00128797815953078,0.000114714628484837,0.000190656297461841,0.00837271257275584,0.00048176737700867,0.000675531900835233,0.000121193606330201,0.00228383668998797,0.000266109613592615,0.00547089696088196,0.00032200269357113,5,"Regression Model Interpretation",0.935499363364814
"21","ACTM",21,0.00202092028857801,0.0081257996827424,0.00319485004922575,0.00148957194955681,0.921832841229086,0.000128109866778575,0.0242573966429551,0.0170407695302954,0.00404665619310263,0.00151842428948345,0.00014494245862726,0.000267358551069159,0.00691100785206232,0.00054202716341482,0.000529747942179396,0.000103087022885183,0.00265315869930417,0.000348843332516808,0.00446437427444781,0.000380112981689238,5,"Regression Model Interpretation",0.921832841229086
"22","ACTM",22,0.0129741181596355,0.0182805284898504,0.00369713628808036,0.00288861866034711,0.003025673284484,0.000252819548412949,0.0322000872967923,0.0102851682110985,0.866457993842709,0.000491687489442862,0.00553377048442651,0.0216352668223968,0.00507593011580154,0.0122640268468086,2.98844723028668e-06,0.00154093090066335,9.26164210027981e-05,7.26682697015031e-05,0.00320153889642528,2.64315246895015e-05,9,"Procedural Statistical Computation",0.866457993842709
"23","ACTM",23,0.000820481118961728,0.00340401709785525,0.00773513506733427,0.0017955986565747,0.0100556214006989,0.0027372953407832,0.1754856332448,0.40440570582343,0.334471155343559,0.0106856327057644,0.0137789872486317,0.00667023149448888,0.00591032972660372,0.00732835080454317,0.000460272810102298,9.622816227107e-05,0.00811519516179904,0.00117019572440604,0.0031552735670988,0.00171865950029338,8,"Reasoning with Incomplete Information",0.40440570582343
"24","ACTM",24,0.00142290048879247,0.00394031631588166,0.00870457335775008,0.000607856402105721,0.0262547016248765,0.000122405625013136,0.0374718381058747,0.039519079534414,0.167454359543639,0.67466373617011,0.0013375273499845,0.000668972379548535,0.00148478977163884,0.00133618808911672,0.000243076474139223,0.000459435254912957,0.00381634847282869,0.0245719387780116,0.0051791525114631,0.00074080374989958,10,"Probability Modeling and Simulation",0.67466373617011
"25","ACTM",25,0.00184118441732861,0.00276157586792575,0.0022078851479509,0.00286977959476862,0.0202771995417586,0.00014135192508782,0.844809862021998,0.0385344663143771,0.0515764554373445,0.00710298790566758,0.00168017158352715,0.00382522213859627,0.00962423909242005,0.0032239332098838,0.000280667898390079,2.79551525494928e-05,0.00282266430136592,0.0019498446564349,0.00351255967555038,0.000929994117074305,7,"Sampling Distributions and Standardization",0.844809862021998
"26","AP",1,0.000141653923409692,0.00099492569078901,0.000401905640661055,0.00704394824405261,1.15275566207304e-05,0.000111702090057764,0.00422824317774276,0.00419253497812292,0.00188162265762695,6.02496640791375e-06,0.00615141666902182,0.90183184076643,0.000212535000646963,0.0561639977748126,1.08660376963882e-07,0.000952127201493857,0.00628906471732379,0.0040368000993501,3.57559780109031e-05,0.0053122642070415,12,"Distribution Summaries and Boxplot Interpretation",0.90183184076643
"27","AP",2,0.000136094724296571,0.00544718439589305,0.00170261959416722,0.00121159521236622,0.00011323338458115,0.000371603377983655,0.000240104344755483,8.35096205727933e-05,2.58654828564962e-05,0.000117478857770646,0.000727023229409792,1.394168905001e-06,4.14582096026463e-06,2.79347460429484e-06,0.000491316575655752,0.702198003929435,0.00364802122277347,0.000854762402628917,0.279618049660162,0.00300520052022168,16,"Association in Contingency Tables",0.702198003929435
"28","AP",3,8.95608574121624e-05,0.00227718499163616,0.00213374957014912,0.00492980838929404,0.000391096744318237,0.000216975366901453,0.00483063607584017,0.000511244981217437,0.000701298108889602,0.00015333193547803,0.0120966672141624,0.000545869055204514,0.000131768797617506,0.000316509154727169,6.92640982821974e-05,0.000529129096111454,0.00247208284418296,0.00329494518350362,0.00190167503313549,0.962407202501936,20,"Discrete Probability Distributions",0.962407202501936
"29","AP",4,1.71647292827708e-05,0.00417515263815967,0.0150247029857943,0.0015110765355617,3.15905905925792e-06,8.71840919392527e-05,0.00198234040647364,0.000125141334244263,0.000738729386765129,5.76937626043914e-06,0.967610595461926,0.00144372725014743,4.45850930559189e-05,0.000829481041029254,1.25731351045944e-06,0.00214211401776626,0.000316371216698404,0.00185739755543125,7.68804718362816e-05,0.00200717003505837,11,"Sample Size, Precision, and Margin of Error",0.967610595461926
"30","AP",5,0.000170918261653372,0.00373042053638266,0.00378361789162198,0.00774402757874204,0.000352840339025838,8.78762780430609e-05,0.0140444975008315,0.000513080939820463,0.000243477264260384,0.000218177615555464,0.00952071436156767,0.000270142229727474,1.41382296555012e-05,0.000156045710765995,5.64110090824715e-05,0.00154641313430029,0.163527690558918,0.768139678705116,0.00133833944330987,0.0245414924116201,18,"Sample Size and Proportion Inference",0.768139678705116
"31","AP",6,0.000853552225615953,0.00208626945431231,0.00135900314896702,0.879111500361076,0.000174322555938817,5.31357962509983e-05,0.0990372323725499,5.97138490621151e-05,0.000471611829532201,1.30776207004038e-05,0.00390952875556676,0.00198227631541481,5.55907814083068e-05,0.00230459309210001,5.36564930994779e-06,0.0034204191712381,0.00228762501909143,0.00116135676492359,0.000322768747284479,0.00133105648965663,4,"Regression Design and Experimental Planning",0.879111500361076
